endTime,artistName,trackName,msPlayed
2022-01-04 14:25,DIVINE,Mirchi,11278
2022-01-04 14:25,Navv Inder,Wakhra Swag,189883
2022-01-04 14:29,Imran Khan,Amplifier,224607
2022-01-04 14:32,Deep Jandu,Pagol,226165
2022-01-04 14:37,Ritviz,Liggi,180911
2022-01-04 14:40,DIVINE,Kohinoor,198655
2022-01-04 14:43,DripReport,Skechers (feat. Badshah),163617
2022-01-04 14:46,Sukh-E Muzical Doctorz,Sniper,175878
2022-01-04 18:40,Parichay,Champion,30035
2022-01-04 18:44,Suraj Jagan,Give Me Some Sunshine,247088
2022-01-04 18:48,Rashid Ali,Kabhi Kabhi Aditi,144557
2022-01-05 03:30,Pritam,Kabira,223459
2022-01-05 03:35,Hitesh Modak,"Hawaa Banke (From ""Yeh Saali Aashiqui"")",272529
2022-01-05 03:36,Pritam,Ilahi,62297
2022-01-05 03:47,Anirudh Ravichander,Kutti Story,300500
2022-01-05 06:20,Chelsea Collins,07 Britney,30046
2022-01-05 06:24,A.R. Rahman,Parade De La Bastille,220913
2022-01-05 09:09,Jasleen Royal,Nachde Ne Saare,194761
2022-01-05 09:22,Vishal Dadlani,"Kudi Nu Nachne De (From ""Angrezi Medium"")",172381
2022-01-05 09:26,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",67832
2022-01-05 17:34,A.R. Rahman,Kun Faya Kun,30159
2022-01-05 17:37,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",168893
2022-01-05 19:08,Shankar-Ehsaan-Loy,Life Is Crazy,101674
2022-01-06 02:14,Hitesh Modak,"Hawaa Banke (From ""Yeh Saali Aashiqui"")",218686
2022-01-06 02:20,A.R. Rahman,Parade De La Bastille,15132
2022-01-06 02:20,Mohit Chauhan,Matargashti,328052
2022-01-06 09:25,A.R. Rahman,Kun Faya Kun,284680
2022-01-06 09:47,Ritviz,Liggi,30121
2022-01-06 09:47,Neeraj Shridhar,"Tum Hi Ho Bandhu (From ""Cocktail"")",30001
2022-01-06 09:51,Jay Sean,Ride It (Kya Yehi Pyar Hai),193654
2022-01-06 09:54,Jay Sean,Down,212293
2022-01-06 17:19,HRVY,Hasta Luego,1169
2022-01-06 17:22,HRVY,Hasta Luego,145568
2022-01-07 03:56,Ritviz,Udd Gaye,180413
2022-01-07 04:03,Vishal Dadlani,"Kudi Nu Nachne De (From ""Angrezi Medium"")",172381
2022-01-07 04:08,Vishal Dadlani,"Kudi Nu Nachne De (From ""Angrezi Medium"")",172381
2022-01-07 04:14,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",170088
2022-01-07 04:17,Pritam,Galti Se Mistake,203076
2022-01-07 04:22,KSW,Tum Mile - Lofi Flip,227177
2022-01-07 04:22,Ritviz,Thandi Hawa,794
2022-01-07 04:26,Amit Trivedi,Love You Zindagi,232505
2022-01-07 04:30,Shankar-Ehsaan-Loy,Life Is Crazy,221800
2022-01-07 04:35,Vishal Dadlani,Ik Junoon (Paint It Red),299119
2022-01-07 04:38,Dhvani Bhanushali,Vaaste,145008
2022-01-07 19:17,Jay Sean,Ride It (Kya Yehi Pyar Hai),193702
2022-01-07 19:18,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",90002
2022-01-08 07:36,Shankar-Ehsaan-Loy,Jhoom,134032
2022-01-08 07:39,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",169630
2022-01-08 07:42,Shankar-Ehsaan-Loy,Jhoom,203991
2022-01-08 10:48,Dhvani Bhanushali,Mera Yaar,192456
2022-01-08 10:48,Dhvani Bhanushali,Mera Yaar,2400
2022-01-08 10:48,Mithoon,"Udd Jaa Parindey (From ""Radhe Shyam"")",18792
2022-01-08 10:51,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",170088
2022-01-08 10:55,The Yellow Diary,Roz Roz,218547
2022-01-08 11:27,Meghna Mishra,Nachdi Phira,119975
2022-01-08 11:28,Armaan Malik,Sau Aasmaan,3015
2022-01-08 18:01,Shankar-Ehsaan-Loy,Jbj,30185
2022-01-09 08:21,Dhvani Bhanushali,Mera Yaar,192456
2022-01-09 08:34,Jubin Nautiyal,Suna Hai,193330
2022-01-09 11:00,Jubin Nautiyal,Suna Hai,193333
2022-01-09 11:05,Dhvani Bhanushali,Mera Yaar,192456
2022-01-09 11:12,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",170088
2022-01-09 11:17,Vishal-Shekhar,"Jaane Kyun (From ""Dostana"")",277986
2022-01-09 11:17,Neeraj Shridhar,"Chor Bazari (From ""Love Aaj Kal "")",3791
2022-01-09 11:17,The Yellow Diary,Roz Roz,25428
2022-01-09 11:18,Pritam,Galti Se Mistake,1625
2022-01-09 11:18,Neeraj Shridhar,"Chor Bazari (From ""Love Aaj Kal "")",19081
2022-01-09 11:22,Amit Trivedi,Love You Zindagi,232505
2022-01-09 11:27,Salim–Sulaiman,Zinda Dili,239431
2022-01-09 11:28,Pritam,Nadaaniyaan,42739
2022-01-09 11:28,Shreya Ghoshal,Nah Woh Main,2070
2022-01-09 11:32,Shreya Ghoshal,Nah Woh Main,10944
2022-01-09 11:35,Vishal Dadlani,"Kudi Nu Nachne De (From ""Angrezi Medium"")",190905
2022-01-09 11:36,Abhijeet Srivastava,Phisal Jaa Tu,47600
2022-01-09 11:36,Salim–Sulaiman,Zinda Dili,343
2022-01-09 11:37,Shankar-Ehsaan-Loy,Aaj Kal Zindagi,30977
2022-01-09 11:40,Amit Trivedi,Iktara,181033
2022-01-09 11:43,Shankar Mahadevan,Uff Teri Adaa,164288
2022-01-09 11:43,Arijit Singh,Raat Bhar,7696
2022-01-09 11:44,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",3192
2022-01-09 11:44,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",0
2022-01-09 11:44,Neeraj Shridhar,"Chor Bazari (From ""Love Aaj Kal "")",62076
2022-01-09 11:47,Ritviz,Liggi,181176
2022-01-09 11:47,Mohit Chauhan,Matargashti,584
2022-01-09 12:07,Vishal Dadlani,"Kudi Nu Nachne De (From ""Angrezi Medium"")",147
2022-01-09 12:09,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",170088
2022-01-09 12:12,Ritviz,Liggi,1902
2022-01-09 12:12,Dhvani Bhanushali,Vaaste,162777
2022-01-09 12:12,Jasleen Royal,Nachde Ne Saare,939
2022-01-09 12:13,Ritviz,Jeet,5039
2022-01-09 12:13,Rochak Kohli,Dil Na Jaaneya,846
2022-01-09 12:13,Shankar-Ehsaan-Loy,Life Is Crazy,1148
2022-01-09 12:16,Jubin Nautiyal,Suna Hai,193333
2022-01-09 12:26,Jubin Nautiyal,Suna Hai,193333
2022-01-09 12:30,Jubin Nautiyal,Suna Hai,193333
2022-01-09 12:43,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",170088
2022-01-09 12:45,Ritviz,Thandi Hawa,1064
2022-01-09 12:45,Pritam,Ilahi (Reprise),131927
2022-01-09 12:45,Shreya Ghoshal,Nah Woh Main,2971
2022-01-09 12:45,Shankar-Ehsaan-Loy,Aaj Kal Zindagi,1615
2022-01-09 12:48,Ritviz,Liggi,176378
2022-01-09 17:24,J Balvin,Mi Gente,599
2022-01-09 17:24,PRETTYMUCH,Me Necesita,7075
2022-01-09 17:24,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,30064
2022-01-09 17:28,CNCO,Reggaetón Lento (Remix),188427
2022-01-09 17:31,CNCO,Hey DJ,206572
2022-01-09 17:35,Alan Walker,Faded,211687
2022-01-09 17:38,Jay Sean,Down,212176
2022-01-09 17:44,Liam Payne,For You (With Rita Ora),242468
2022-01-09 17:47,Black Eyed Peas,RITMO (Bad Boys For Life),214461
2022-01-09 17:51,Jay Sean,Ride It (Kya Yehi Pyar Hai),193272
2022-01-09 17:54,Bebe Rexha,I'm a Mess,195298
2022-01-09 17:59,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),202326
2022-01-09 18:02,Otilia,Prisionera - Radio Edit,176689
2022-01-09 18:05,Bebe Rexha,"Baby, I'm Jealous (feat. Doja Cat)",175442
2022-01-09 18:07,HRVY,Hasta Luego,146822
2022-01-09 18:10,Selena Gomez & The Scene,Who Says,195352
2022-01-09 18:17,Jennifer Lopez,On The Floor,284620
2022-01-09 18:20,Charlie Puth,The Way I Am,185761
2022-01-09 18:23,Johnny Orlando,What If (I Told You I Like You),218788
2022-01-09 18:27,Destiny Rogers,Tomboy,203245
2022-01-09 18:31,Anne-Marie,2002,186567
2022-01-09 18:35,HRVY,Personal,197575
2022-01-09 18:38,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),219770
2022-01-09 18:42,New Hope Club,Know Me Too Well (with Danna Paola),199718
2022-01-09 18:45,Selena Gomez,Wolves,197743
2022-01-09 18:49,Jax Jones,Instruction (feat. Demi Lovato & Stefflon Don),165581
2022-01-09 18:51,Zedd,Happy Now,114772
2022-01-09 18:52,PRETTYMUCH,Eyes Off You,44171
2022-01-09 18:55,Jay Sean,Ride It (Kya Yehi Pyar Hai),193480
2022-01-09 18:58,HRVY,Hasta Luego,146669
2022-01-10 09:26,Vishal Dadlani,"Kudi Nu Nachne De (From ""Angrezi Medium"")",172381
2022-01-10 09:29,Pritam,Ullu Ka Pattha,150318
2022-01-10 09:32,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",170088
2022-01-10 09:33,Jay Sean,Down,30076
2022-01-10 10:30,Curtis Harding,Our Love (from the series Arcane League of Legends),60102
2022-01-10 11:13,Meet Bros.,Befikra,227617
2022-01-10 11:14,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",10601
2022-01-10 11:17,Jubin Nautiyal,Suna Hai,193333
2022-01-10 11:21,Sundeep Gosswami,Haal E Dil,21512
2022-01-10 11:21,Amit Trivedi,Love You Zindagi,232505
2022-01-10 11:27,A.R. Rahman,Khulke Jeene Ka,6545
2022-01-10 11:27,Pritam,"Woh Din (From ""Chhichhore"")",312820
2022-01-10 11:27,Atif Aslam,Zindagi Aa Raha Hoon Main,0
2022-01-10 11:27,Ritviz,Udd Gaye,2720
2022-01-10 11:32,Atif Aslam,Zindagi Aa Raha Hoon Main,287696
2022-01-10 12:46,Ritviz,Jeet,152563
2022-01-10 14:40,BONES UK,Dirty Little Animals (from the series Arcane League of Legends),26883
2022-01-10 14:45,Bea Miller,Playground (from the series Arcane League of Legends),229787
2022-01-10 14:48,PVRIS,Snakes (from the series Arcane League of Legends),161179
2022-01-10 14:51,Ramsey,Goodbye (from the series Arcane League of Legends),194789
2022-01-10 14:52,Woodkid,Guns for Hire (from the series Arcane League of Legends),50289
2022-01-10 14:54,Curtis Harding,Our Love (from the series Arcane League of Legends),103218
2022-01-10 14:57,Pusha T,Misfit Toys (from the series Arcane League of Legends),178758
2022-01-10 15:00,Imagine Dragons,Enemy feat. J.I.D. (from the series Arcane League of Legends),173139
2022-01-10 15:03,Sting,What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),213350
2022-01-10 15:08,Denzel Curry,Dynasties and Dystopia (from the series Arcane League of Legends),177984
2022-01-10 17:42,Fantastic Negrito,When Everything Went Wrong (from the series Arcane League of Legends),1072
2022-01-10 17:43,BONES UK,Dirty Little Animals (from the series Arcane League of Legends),48900
2022-01-10 17:46,Badshah,The Power Of Dreams (feat. Lisa Mishra),188049
2022-01-10 17:48,Badshah,Shuru,123380
2022-01-10 17:51,Badshah,BKL,154184
2022-01-11 10:21,Taniskaa Sanghvi,"Ek Zindagi (From ""Angrezi Medium"")",14423
2022-01-11 10:24,Jubin Nautiyal,Suna Hai,183565
2022-01-11 10:27,Dhvani Bhanushali,Mera Yaar,192448
2022-01-11 10:31,David Guetta,Say My Name,198946
2022-01-11 10:31,Selena Gomez,Only You,9129
2022-01-11 10:34,Meghan Trainor,Me Too,181240
2022-01-11 10:38,Billie Eilish,lovely (with Khalid),200185
