"endTime","artistName","trackName","msPlayed"
"2023-12-22 02:20","Pink Floyd","Run Like Hell",263573
"2023-12-22 02:24","Pink Floyd","Waiting for the Worms",237077
"2023-12-22 02:25","Pink Floyd","Stop",30605
"2023-12-22 02:30","Pink Floyd","The Trial",318846
"2023-12-22 02:32","Pink Floyd","Outside the Wall",104113
"2023-12-22 02:52","The Beatles","Yesterday - Remastered 2009",2708
"2023-12-22 02:52","Dire Straits","Sultans Of Swing",1709
"2023-12-22 02:57","Guns N' Roses","Don't Cry (Original)",267401
"2023-12-22 02:59","Guns N' Roses","Patience",133488
"2023-12-22 03:03","Guns N' Roses","Voodoo Child (Slight Return) / Civil War - Live In New York, Ritz Theatre - May 16, 1991",20221
"2023-12-22 03:03","Guns N' Roses","Hotel California / Only Women Bleed / Knockin' On Heaven's Door - Live In Las Vegas, Thomas & Mack Center - January 25, 1992",237407
"2023-12-22 03:04","Guns N' Roses","Sympathy For The Devil",24320
"2023-12-22 03:07","Guns N' Roses","Yesterdays",118548
"2023-12-22 03:09","Guns N' Roses","Welcome To The Jungle",120358
"2023-12-22 03:13","Guns N' Roses","Mr. Brownstone",228578
"2023-12-22 03:18","Guns N' Roses","You Could Be Mine",187134
"2023-12-22 03:18","Linkin Park","What I've Done",4428
"2023-12-22 03:21","Three Days Grace","Animal I Have Become",176939
"2023-12-22 09:19","Vishal Mishra","Pehle Bhi Main",240478
"2023-12-22 09:24","Arijit Singh","Satranga",3526
"2023-12-22 09:24","Arijit Singh","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",17416
"2023-12-22 09:24","Raghav Chaitanya","Hua Main",277015
"2023-12-22 09:29","Ankit Tiwari","Sunn Raha Hai (Male Version)",1753
"2023-12-22 09:29","Jubin Nautiyal","Tujhe Kitna Chahein Aur (Film Version)",276226
"2023-12-22 09:35","Arijit Singh","Milne Hai Mujhse Aayi",333268
"2023-12-22 09:35","Mithoon","Aashiqui (The Love Theme)",4714
"2023-12-22 09:54","Ankit Tiwari","Sunn Raha Hai (Male Version)",384000
"2023-12-22 09:57","John Mayer","Waiting On the World to Change",201173
"2023-12-22 10:01","John Mayer","Slow Dancing in a Burning Room",242000
"2023-12-22 10:06","John Mayer","I Don't Trust Myself (With Loving You)",292013
"2023-12-22 10:07","John Mayer","Belief",86325
"2023-12-22 10:10","Queen","It's A Beautiful Day - Remastered 2011",154066
"2023-12-22 10:15","Queen","Made In Heaven - 2011 Remaster",324920
"2023-12-22 10:18","Queen","Made In Heaven - 2011 Remaster",93
"2023-12-22 10:18","Queen","Let Me Live - Remastered 2011",179060
"2023-12-22 10:23","Queen","Let Me Live - Remastered 2011",285973
"2023-12-22 10:28","Queen","Mother Love - 2011 Remaster",286164
